REG,PRV,MUN,BGY,EA,MUNICIPALITY,BARANGAY,No. of Households,No. of Housing Units,PSU,STR,RPL
11,23,19,025,002,CITY OF TAGUM (Capital),Magugpo South,12,14,12898,21104,4
11,24,01,025,001,BANSALAN,Poblacion Dos,19,20,12916,21113,4
11,24,02,003,000,DAVAO CITY,Alambre,22,21,12945,23601,4
11,24,02,020,019,DAVAO CITY,Bucana,20,21,12958,12014,4
11,24,02,022,001,DAVAO CITY,Bunawan (Pob.),4,4,12960,12012,4
11,24,02,026,008,DAVAO CITY,Calinan (Pob.),6,6,12962,12010,4
11,24,02,036,007,DAVAO CITY,Crossing Bayabas,9,9,12968,23501,4
11,24,02,061,013,DAVAO CITY,Ma-a,7,9,12981,12016,4
11,24,02,069,001,DAVAO CITY,Mandug,22,23,12985,22403,4
11,24,02,073,004,DAVAO CITY,Marilog,16,17,12988,24716,4
11,24,02,075,010,DAVAO CITY,Matina Crossing,17,19,12990,12001,4
11,24,02,087,012,DAVAO CITY,Panacan,9,9,12994,12011,4
11,24,02,106,001,DAVAO CITY,Suawan (Tuli),27,27,12999,24821,4
11,24,02,116,023,DAVAO CITY,Talomo (Pob.),6,6,13001,12015,4
11,24,02,152,012,DAVAO CITY,Barangay 19-B (Pob.),9,10,13019,12005,4
11,24,02,164,001,DAVAO CITY,Barangay 31-D (Pob.),15,17,13026,22302,4
11,24,02,179,003,DAVAO CITY,Centro (San Juan),16,16,13032,21201,4
11,24,02,194,002,DAVAO CITY,Ubalde,17,19,13042,21112,4
11,24,04,012,000,HAGONOY,Lapulabao,15,22,13068,22412,4
11,24,04,023,000,HAGONOY,San Guillermo,1,1,13068,22412,4
11,24,07,015,002,MAGSAYSAY,Poblacion,14,14,13108,21208,4
11,24,09,007,000,MALITA,Felis,16,20,13121,23610,4
11,24,12,004,001,SANTA CRUZ,Darong,14,16,13160,22321,4
11,24,13,011,001,SANTA MARIA,San Agustin,25,28,13183,22527,4
11,24,16,005,000,DON MARCELINO,Nueva Villa,16,18,13201,23712,4
11,25,03,006,000,BOSTON,Sibajay,14,14,13222,22301,4
11,25,07,006,002,LUPON,Calapagan,15,17,13248,21108,4
11,25,07,016,000,LUPON,Macangao,13,18,13251,21206,4
11,25,09,005,008,MATI (Capital),Central (Pob.),5,5,13269,11006,4
11,25,09,006,000,MATI (Capital),Culian,18,18,13268,22418,4
11,82,04,031,000,MACO,Mainit,1,1,13332,22427,4
11,82,04,032,000,MACO,New Barili,24,29,13332,22427,4
11,82,07,017,001,MONKAYO,San Jose,18,18,13375,22321,4
11,82,07,022,004,MONKAYO,Mount Diwata,7,7,13379,11004,4
11,82,09,011,004,NABUNTURAN,Mainit,17,17,13393,21214,4
11,82,10,008,000,NEW BATAAN,Magangit,16,16,13406,21102,4
11,82,11,011,001,PANTUKAN,Tibagon,16,14,13421,22514,4
12,47,02,021,000,CARMEN,Macabenban,6,6,13633,10017,4
12,47,03,008,002,KABACAN,Kayaga,32,30,13443,22215,4
12,47,04,032,003,CITY OF KIDAPAWAN (Capital),Poblacion,7,6,13463,10002,4
12,47,04,038,001,CITY OF KIDAPAWAN (Capital),Singao,11,11,13464,21104,4
12,47,08,008,000,MATALAM,Estado,18,18,13521,22310,4
12,47,09,008,000,MIDSAYAP,Bual Norte,17,17,13541,21319,4
12,47,09,032,000,MIDSAYAP,Nes,18,18,13528,23218,4
12,47,10,014,000,M'LANG,Lepaga,21,21,13568,23120,4
12,47,11,007,002,PIGKAWAYAN,Bulucaon,18,18,13579,21214,4
12,47,12,060,000,PIKIT,Tinutulan,15,15,13583,23316,4
12,47,14,005,001,TULUNAN,Bual,21,22,13619,22119,4
12,63,02,021,002,BANGA,San Jose (Barrio 7),20,19,13664,22118,4
12,63,03,011,018,GENERAL SANTOS CITY (DADIANGAS),Lagao (1st & 3rd),16,19,13674,10011,4
12,63,03,023,013,GENERAL SANTOS CITY (DADIANGAS),San Isidro (Lagao 2nd),10,10,13678,10008,4
12,63,03,028,002,GENERAL SANTOS CITY (DADIANGAS),Tinagacan,19,22,13682,22006,4
12,63,03,033,001,GENERAL SANTOS CITY (DADIANGAS),Calumpang,15,16,13686,10014,4
12,63,03,033,030,GENERAL SANTOS CITY (DADIANGAS),Calumpang,1,1,13686,10014,4
12,63,03,036,002,GENERAL SANTOS CITY (DADIANGAS),Dadiangas South,10,10,13689,21003,4
12,63,03,037,013,GENERAL SANTOS CITY (DADIANGAS),Dadiangas West,11,10,13690,10010,4
12,63,06,008,008,KORONADAL (Capital),General Paulino Santos (Bo. 1),7,7,13700,10009,4
12,63,06,015,002,KORONADAL (Capital),Paraiso,26,27,13695,23319,4
12,63,12,016,003,POLOMOLOK,Magsaysay,17,20,13729,21201,4
12,63,12,024,002,POLOMOLOK,Cannery Site,7,7,13733,10001,4
12,63,14,006,003,TAMPAKAN,Poblacion,16,17,13754,21102,4
12,63,16,017,000,T'BOLI,Afus,20,23,13782,23122,4
12,63,18,002,002,SANTO NIÑO,Guinsang-an,16,18,13797,22209,4
12,63,19,018,000,LAKE SEBU,Upper Maculan,18,18,13811,23210,4
12,65,01,003,001,BAGUMBAYAN,Busok,16,16,13817,22214,4
12,65,04,009,001,ISULAN (Capital),Dansuli,21,21,13849,21208,4
12,65,06,020,001,LEBAK,Salaman,23,20,13875,23111,4
12,65,09,042,001,PALIMBANG,Balwan (Bulan),14,20,13904,22112,4
12,65,12,004,001,SEN. NINOY AQUINO,Bugso,18,18,13937,23207,4
12,65,12,011,002,SEN. NINOY AQUINO,Kulaman,15,18,13938,21102,4
12,80,01,010,007,ALABEL (Capital),Poblacion (Alabel),11,11,13953,10015,4
12,80,02,027,000,GLAN,Small Margus,16,18,13974,22220,4
12,80,02,029,001,GLAN,Taluya,22,21,13971,21219,4
12,80,03,005,001,KIAMBA,Katubao,20,20,13978,21108,4
12,80,06,001,001,MALAPATAN,Daan Suyan,19,20,14009,22115,4
12,98,04,023,001,COTABATO CITY,Rosary Heights IV,18,19,14057,21006,4
12,98,04,035,000,COTABATO CITY,Tamontaka III,5,5,14067,22012,4
13,39,01,105,007,TONDO,Barangay 105,3,3,14120,13015,4
13,39,01,119,002,TONDO,Barangay 119,10,10,14129,22221,4
13,39,01,147,000,TONDO,Barangay 147,21,18,14154,26212,4
13,39,01,151,000,TONDO,Barangay 151,12,11,14156,23208,4
13,39,01,199,002,TONDO,Barangay 199,25,19,14166,21227,4
13,39,01,254,000,TONDO,Barangay 253,13,12,14192,24216,4
13,39,02,002,000,BINONDO,Barangay 288,11,11,14205,24101,4
13,39,05,014,001,SANTA CRUZ,Barangay 312,18,16,14227,27125,4
13,39,06,107,000,SAMPALOC,Barangay 501,11,11,14294,25202,4
13,39,06,120,000,SAMPALOC,Barangay 514,14,13,14297,27207,4
13,39,07,012,002,SAN MIGUEL,Barangay 648,10,4,14358,25102,4
13,39,10,047,000,MALATE,Barangay 732,11,11,14376,21107,4
13,39,11,031,000,PACO,Barangay 817,10,10,14393,23105,4
13,39,13,001,005,PORT AREA,Barangay 649,3,3,14429,13054,4
13,39,14,038,000,SANTA ANA,Barangay 782,14,14,14450,22121,4
13,39,14,061,000,SANTA ANA,Barangay 805,16,18,14459,26116,4
13,74,04,005,007,QUEZON CITY,Baesa,11,9,14545,12044,4
13,74,04,009,019,QUEZON CITY,Bagong Pag-asa,5,7,14549,12018,4
13,74,04,012,019,QUEZON CITY,Bahay Toro,7,8,14552,12046,4
13,74,04,020,006,QUEZON CITY,Central,6,5,14559,12041,4
13,74,04,022,012,QUEZON CITY,Commonwealth,13,12,14561,12043,4
13,74,04,025,024,QUEZON CITY,Culiat,32,30,14564,12051,4
13,74,04,029,004,QUEZON CITY,Del Monte,16,15,14568,24001,4
13,74,04,031,002,QUEZON CITY,Doña Imelda,10,7,14570,12028,4
13,74,04,041,008,QUEZON CITY,Fairview,9,10,14578,12038,4
13,74,04,046,007,QUEZON CITY,Kaligayahan,14,15,14583,12074,4
13,74,04,049,001,QUEZON CITY,Katipunan,11,7,14585,23008,4
13,74,04,051,005,QUEZON CITY,Krus Na Ligas,3,3,14587,12006,4
13,74,04,058,004,QUEZON CITY,Manresa,2,3,14594,12076,4
13,74,04,064,006,QUEZON CITY,Masambong,12,9,14600,27003,4
13,74,04,066,016,QUEZON CITY,Matandang Balara,12,13,14602,12056,4
13,74,04,071,002,QUEZON CITY,Obrero,7,9,14607,29001,4
13,74,04,076,002,QUEZON CITY,Paltok,3,3,14611,12019,4
13,74,04,079,006,QUEZON CITY,Pasong Putik Proper (Pasong Putik),8,8,14614,12050,4
13,74,04,082,008,QUEZON CITY,Pinyahan,5,5,14617,12064,4
13,74,04,084,005,QUEZON CITY,Project 6,14,14,14619,28005,4
13,74,04,090,007,QUEZON CITY,Roxas,3,3,14624,12002,4
13,74,04,096,004,QUEZON CITY,San Antonio,4,3,14629,12032,4
13,74,04,102,005,QUEZON CITY,San Roque,2,3,14635,12023,4
13,74,04,106,012,QUEZON CITY,Santa Monica,5,6,14639,12062,4
13,74,04,112,003,QUEZON CITY,Sienna,6,6,14645,21001,4
13,74,04,115,008,QUEZON CITY,Socorro,4,4,14647,12001,4
13,74,04,120,021,QUEZON CITY,Tandang Sora,7,8,14651,12061,4
13,74,04,124,007,QUEZON CITY,U.P. Campus,8,8,14655,12073,4
13,74,04,125,002,QUEZON CITY,U.P. Village,13,13,14608,25001,4
13,74,04,132,003,QUEZON CITY,West Kamias,8,8,14660,26006,4
13,74,04,134,002,QUEZON CITY,White Plains,13,13,14662,22007,4
13,74,04,138,035,QUEZON CITY,Payatas,6,6,14666,12066,4
13,74,04,139,017,QUEZON CITY,Batasan Hills,14,14,14667,12020,4
13,74,04,141,001,QUEZON CITY,Greater Lagro,3,3,14669,12015,4
13,74,01,007,001,CITY OF MANDALUYONG,Burol,11,11,14484,21021,4
13,74,01,017,005,CITY OF MANDALUYONG,Mauway,15,13,14493,12054,4
13,74,01,024,003,CITY OF MANDALUYONG,Poblacion,4,3,14500,12013,4
13,74,02,002,001,CITY OF MARIKINA,Calumpang,3,4,14505,12052,4
13,74,02,003,012,CITY OF MARIKINA,Concepcion Uno,14,13,14506,12022,4
13,74,02,005,012,CITY OF MARIKINA,Malanday,12,10,14508,12021,4
13,74,02,007,011,CITY OF MARIKINA,Parang,13,14,14510,12017,4
13,74,02,010,012,CITY OF MARIKINA,Santo Niño,11,10,14511,12035,4
13,74,03,001,009,CITY OF PASIG,Bagong Ilog,7,7,14513,12077,4
13,74,03,005,004,CITY OF PASIG,Caniogan,8,7,14517,12048,4
13,74,03,006,002,CITY OF PASIG,Dela Paz,13,13,14518,21009,4
13,74,03,011,005,CITY OF PASIG,Manggahan,13,13,14523,12034,4
13,74,03,014,001,CITY OF PASIG,Palatiw,4,3,14526,12071,4
13,74,03,016,011,CITY OF PASIG,Pineda,3,3,14528,12009,4
13,74,03,022,014,CITY OF PASIG,San Miguel,4,4,14533,12025,4
13,74,03,029,009,CITY OF PASIG,Ugong,5,3,14538,12058,4
13,74,03,031,016,CITY OF PASIG,Napico,4,4,14540,12012,4
13,74,05,016,004,SAN JUAN,Salapan,11,11,14684,21014,4
13,75,01,008,010,KALOOKAN CITY,Barangay 8,6,6,14721,13023,4
13,75,01,014,002,KALOOKAN CITY,Barangay 14,3,3,14723,13043,4
13,75,01,018,001,KALOOKAN CITY,Barangay 18,12,12,14726,22010,4
13,75,01,035,010,KALOOKAN CITY,Barangay 35,3,3,14740,13022,4
13,75,01,140,000,KALOOKAN CITY,Barangay 140,11,11,14771,21015,4
13,75,01,154,001,KALOOKAN CITY,Barangay 154,13,15,14784,24011,4
13,75,01,160,005,KALOOKAN CITY,Barangay 160,8,8,14789,13027,4
13,75,01,163,004,KALOOKAN CITY,Barangay 163,15,15,14792,23010,4
13,75,01,166,008,KALOOKAN CITY,Barangay 166,2,3,14795,13012,4
13,75,01,168,004,KALOOKAN CITY,Barangay 168,1,3,14797,13013,4
13,75,01,172,004,KALOOKAN CITY,Barangay 172,3,3,14801,13010,4
13,75,01,175,017,KALOOKAN CITY,Barangay 175,6,7,14804,13039,4
13,75,01,176,067,KALOOKAN CITY,Barangay 176,7,4,14805,13020,4
13,75,01,176,084,KALOOKAN CITY,Barangay 176,12,12,14805,13020,4
13,75,01,178,005,KALOOKAN CITY,Barangay 178,11,15,14807,13032,4
13,75,01,181,006,KALOOKAN CITY,Barangay 181,3,3,14810,13044,4
13,75,01,187,001,KALOOKAN CITY,Barangay 187,3,3,14815,13017,4
13,75,01,188,004,KALOOKAN CITY,Barangay 188,11,11,14816,25003,4
13,75,01,188,005,KALOOKAN CITY,Barangay 188,1,1,14816,25003,4
13,75,02,005,003,MALABON,Concepcion,3,3,14821,13030,4
13,75,02,008,003,MALABON,Hulong Duhat,13,14,14824,21005,4
13,75,02,015,005,MALABON,Potrero,5,5,14831,13036,4
13,75,02,019,008,MALABON,Tinajeros,8,9,14835,13009,4
13,75,02,021,002,MALABON,Tugatog,5,5,14837,13049,4
13,75,03,007,003,NAVOTAS,Navotas West,10,10,14843,21001,4
13,75,03,008,001,NAVOTAS,North Bay Blvd. North,3,3,14844,13053,4
13,75,03,010,014,NAVOTAS,San Jose (Pob.),7,6,14846,13052,4
13,75,03,013,005,NAVOTAS,Tangos,4,4,14849,13045,4
13,75,04,002,001,CITY OF VALENZUELA,Bagbaguin,3,3,14852,13008,4
13,75,04,008,006,CITY OF VALENZUELA,Karuhatan,3,3,14858,13005,4
13,75,04,009,003,CITY OF VALENZUELA,Coloong,13,13,14859,21001,4
13,75,04,011,013,CITY OF VALENZUELA,Hen. T. De Leon,28,27,14861,13026,4
13,75,04,012,002,CITY OF VALENZUELA,Isla,14,13,14862,22002,4
13,75,04,016,002,CITY OF VALENZUELA,Malanday,4,5,14865,13050,4
13,75,04,018,008,CITY OF VALENZUELA,Mapulang Lupa,3,3,14867,13025,4
13,75,04,020,001,CITY OF VALENZUELA,Maysan,3,3,14869,13004,4
13,75,04,031,003,CITY OF VALENZUELA,Viente Reales,3,3,14878,13001,4
13,76,02,003,009,CITY OF MAKATI,Cembo,5,6,14902,11001,4
13,76,02,007,010,CITY OF MAKATI,East Rembo,7,6,14906,11019,4
13,76,02,010,002,CITY OF MAKATI,Guadalupe Viejo,7,3,14908,11035,4
13,76,02,015,002,CITY OF MAKATI,Palanan,5,6,14913,11028,4
13,76,02,018,003,CITY OF MAKATI,Pio Del Pilar,3,4,14916,11039,4
13,76,02,020,002,CITY OF MAKATI,Poblacion,4,4,14918,11010,4
13,76,02,026,001,CITY OF MAKATI,Santa Cruz,19,19,14923,21011,4
13,76,02,028,003,CITY OF MAKATI,South Cembo,3,3,14925,11002,4
13,76,02,032,002,CITY OF MAKATI,West Rembo,5,6,14929,11021,4
13,76,06,007,004,PATEROS,Santa Ana,10,9,15038,11027,4
13,76,06,008,003,PATEROS,Santo Rosario-Kanluran,11,10,15039,21004,4
13,76,07,002,013,TAGUIG,Bagumbayan,10,10,15044,11033,4
13,76,07,008,020,TAGUIG,Lower Bicutan,16,15,15049,11009,4
13,76,07,016,005,TAGUIG,Ususan,8,10,15045,11031,4
13,76,07,018,036,TAGUIG,Western Bicutan,15,15,15047,11044,4
13,76,01,006,008,CITY OF LAS PIÑAS,Pamplona Uno,3,4,14885,11007,4
13,76,01,008,002,CITY OF LAS PIÑAS,Talon Uno,3,3,14887,11024,4
13,76,01,010,006,CITY OF LAS PIÑAS,Almanza Dos,8,5,14889,11061,4
13,76,01,012,005,CITY OF LAS PIÑAS,Manuyo Dos,8,12,14891,21003,4
13,76,01,014,005,CITY OF LAS PIÑAS,Pamplona Tres,7,7,14893,11037,4
13,76,01,016,002,CITY OF LAS PIÑAS,Pulang Lupa Dos,6,6,14895,11022,4
13,76,01,018,006,CITY OF LAS PIÑAS,Talon Tres,4,4,14897,11047,4
13,76,01,020,007,CITY OF LAS PIÑAS,Talon Singko,3,3,14899,11060,4
13,76,03,001,013,CITY OF MUNTINLUPA,Alabang,19,16,14931,11057,4
13,76,03,004,012,CITY OF MUNTINLUPA,Cupang,15,15,14934,11045,4
13,76,03,006,022,CITY OF MUNTINLUPA,Putatan,15,14,14936,11051,4
13,76,03,008,011,CITY OF MUNTINLUPA,Tunasan,14,15,14933,11032,4
13,76,04,004,003,CITY OF PARAÑAQUE,San Dionisio,10,10,14941,11052,4
13,76,04,006,002,CITY OF PARAÑAQUE,Tambo,8,10,14939,11050,4
13,76,04,008,024,CITY OF PARAÑAQUE,Don Bosco,21,19,14944,11017,4
13,76,04,011,006,CITY OF PARAÑAQUE,Moonwalk,15,12,14946,11042,4
13,76,04,013,025,CITY OF PARAÑAQUE,San Isidro,30,30,14948,11015,4
13,76,05,119,000,PASAY CITY,Barangay 119,15,14,14986,23003,4
13,76,05,127,000,PASAY CITY,Barangay 127,18,15,14989,21007,4
13,76,05,145,003,PASAY CITY,Barangay 145,24,23,14998,22019,4
13,76,05,183,017,PASAY CITY,Barangay 183,3,3,15019,11003,4
14,1,01,001,000,BANGUED (Capital),Agtangao,23,25,15052,21114,4
14,1,14,002,000,LUBA,Barit,16,17,15087,21203,4
14,1,14,006,000,LUBA,Luzong,1,1,15087,21203,4
14,1,17,006,000,PEÑARRUBIA,Poblacion,19,18,15091,22205,4
14,1,27,002,000,VILLAVICIOSA,Bol-lilising,2,2,15109,22102,4
14,1,27,008,000,VILLAVICIOSA,Tuquib,14,15,15109,22102,4
14,11,01,005,001,ATOK,Paoay,20,26,15113,21203,4
14,11,02,010,000,BAGUIO CITY,Bayan Park East,24,27,15151,22108,4
14,11,02,041,000,BAGUIO CITY,Greenwater Village,15,24,15171,23204,4
14,11,02,047,000,BAGUIO CITY,Holy Ghost Proper,26,30,15163,21207,4
14,11,02,066,000,BAGUIO CITY,Magsaysay Private Road,12,10,15159,21107,4
14,11,02,067,000,BAGUIO CITY,Aurora Hill Proper (Malvar-Sgt. Floresca,1,1,15139,23104,4
14,11,02,110,000,BAGUIO CITY,Saint Joseph Village,20,22,15139,23104,4
14,11,02,154,001,BAGUIO CITY,Middle Quezon Hill Subdivision (Quezon H,19,18,15147,22201,4
14,11,05,013,002,BUGUIAS,Poblacion (Central),14,15,15193,23212,4
14,11,05,015,001,BUGUIAS,Lengaoan,5,6,15195,22211,4
14,11,06,001,008,ITOGON,Ampucao,4,4,15197,10005,4
14,11,08,018,000,KAPANGAN,Taba-ao,18,18,15211,22107,4
14,11,10,005,005,LA TRINIDAD (Capital),Balili,16,17,15217,10001,4
14,11,11,001,001,MANKAYAN,Balili,1,1,15228,23113,4
14,11,11,001,002,MANKAYAN,Balili,5,7,15228,23113,4
14,11,11,010,001,MANKAYAN,Poblacion,19,13,15231,21108,4
14,11,13,003,003,TUBA,Camp 3,3,3,15239,10004,4
14,27,04,026,000,LAGAWE (Capital),Poblacion East,16,17,15267,21001,4
14,27,07,015,000,ALFONSO LISTA (POTIA),San Marcos,1,1,15282,23014,4
14,27,07,019,000,ALFONSO LISTA (POTIA),Little Tadian,19,20,15282,23014,4
14,27,10,012,000,TINOC,Wangwang,11,16,15297,22002,4
14,32,09,021,000,PINUKPUK,Socbot,18,18,15309,23003,4
14,32,13,022,001,TABUK (Capital),Magsaysay,15,15,15336,21015,4
14,32,15,008,000,TINGLAYAN,Bugnay,1,1,15340,22006,4
14,32,15,014,000,TINGLAYAN,Poblacion,18,18,15340,22006,4
14,44,02,008,000,BAUKO,Guinzadan Norte,15,19,15381,23012,4
14,44,02,012,000,BAUKO,Mabaay,17,19,15375,22014,4
14,44,02,015,000,BAUKO,Monamon Sur,15,17,15374,21013,4
14,81,01,005,000,CALANASAN (BAYAG),Naguilian,1,1,15345,21002,4
14,81,01,015,000,CALANASAN (BAYAG),Eva Puzon,17,17,15345,21002,4
14,81,06,009,000,PUDTOL,Capannikian,1,1,15368,22007,4
14,81,06,020,000,PUDTOL,Swan,13,13,15368,22007,4
15,7,02,024,000,LAMITAN,Calugusan,24,24,16034,21116,4
15,7,05,010,000,SUMISIP,Guiong,17,17,16068,22118,4
15,36,01,023,000,BACOLOD-KALAWI (BACOLOD GRANDE),Raya,3,3,15414,23106,4
15,36,01,026,000,BACOLOD-KALAWI (BACOLOD GRANDE),Tambo,1,1,15414,23106,4
15,36,03,032,000,BALINDONG (WATU),Lumbayao,21,12,15426,22206,4
15,36,09,016,000,GANASSI,Para-aba,9,9,15449,21211,4
15,36,15,072,000,MALABANG,Jose Abad Santos,19,20,15478,23205,4
15,36,17,019,000,MARAWI CITY,Bubonga Cadayonan,13,7,15496,21029,4
15,36,17,129,000,MARAWI CITY,Tuca Ambolong,1,1,15496,21029,4
15,36,25,005,000,SAGUIARAN,Cadayon,1,1,15554,22124,4
15,36,25,009,000,SAGUIARAN,Dilausan,8,6,15554,22124,4
15,36,34,030,000,MAGUING,Madanding,3,1,15603,21119,4
15,36,34,033,000,MAGUING,Malungun,12,6,15603,21119,4
15,36,40,003,000,SULTAN DUMALONDONG,Dinganun Guilopa (Dingunun),5,4,15618,21324,4
15,38,03,039,004,BULUAN,Poblacion,15,16,15641,22111,4
15,38,08,034,001,SHARIFF AGUAK (MAGANOY) (Capital) (25),Poblacion,12,12,15696,23103,4
15,38,09,004,002,MATANOG,Bugasan Sur (Pob.),14,16,15786,25104,4
15,38,11,010,000,PARANG,Guiday T. Biruar,10,10,15711,21205,4
15,38,11,012,006,PARANG,Landasan (Sarmiento),7,8,15710,10001,4
15,38,12,010,001,SULTAN KUDARAT (NULING),Crossing Simuay,10,12,15729,21105,4
15,38,13,003,000,SULTAN SA BARONGIS (LAMBAYONG),Barurao,20,20,15745,24104,4
15,38,16,002,000,TALAYAN,Ahan,17,22,15780,25217,4
15,38,16,020,000,TALAYAN,Lambayao,7,7,15776,23202,4
15,38,17,010,002,SOUTH UPI,Romangaob (Pob.),15,15,15785,24209,4
15,38,22,005,000,PAGAGAWAN,Limbalud,19,19,15811,22202,4
15,66,03,012,002,KALINGALAN CALUANG,Pitogo,25,25,15839,21112,4
15,66,06,002,000,HADJI PANGLIMA TAHIL (MARUNGGAS),Bubuan,2,2,15860,23101,4
15,66,06,003,000,HADJI PANGLIMA TAHIL (MARUNGGAS),Kabuukan,18,18,15860,23101,4
15,66,07,007,000,OLD PANAMAO,Bulangsi,17,17,15866,23312,4
15,66,07,028,000,OLD PANAMAO,Lower Patibulan,6,6,15870,22211,4
15,66,12,015,000,SIASI,Ipil,16,16,15908,23215,4
15,66,12,072,000,SIASI,Tong Laminusa,16,16,15911,22109,4
15,66,13,039,000,TALIPAO,Mahala,15,15,15923,21209,4
15,70,02,043,000,BONGAO,Ungus-ungus,2,2,15976,22209,4
15,70,02,045,000,BONGAO,Nalil,20,20,15966,21104,4
15,70,02,046,000,BONGAO,Pagatpat,15,16,15976,22209,4
15,70,05,004,002,SITANGKAI,Sitangkai Poblacion,19,13,15992,21205,4
15,70,07,026,000,TANDUBAS,Naungan,10,10,16011,22106,4
15,70,07,047,000,TANDUBAS,Kalang-kalang,1,1,16011,22106,4
16,2,02,003,001,BUTUAN CITY (Capital),Agusan Pequeño,17,18,16133,21110,4
16,2,02,039,001,BUTUAN CITY (Capital),Doongan,21,23,16142,21201,4
16,2,02,054,004,BUTUAN CITY (Capital),Libertad,9,9,16112,10002,4
16,2,02,056,001,BUTUAN CITY (Capital),Los Angeles,18,18,16124,22112,4
16,2,02,100,000,BUTUAN CITY (Capital),Santo Niño,17,16,16123,22210,4
16,2,03,006,000,CABADBARAN,Bayabas,1,1,16157,22116,4
16,2,03,032,000,CABADBARAN,Poblacion 9,19,22,16169,21112,4
16,2,03,033,000,CABADBARAN,Puting Bato,19,19,16157,22116,4
16,2,04,011,000,CARMEN,San Agustin,17,18,16172,21206,4
16,2,05,002,001,JABONGA,Bangonay,16,16,16177,22203,4
16,3,01,024,001,BAYUGAN,Taglatawan,7,7,16231,10007,4
16,3,01,030,000,BAYUGAN,Cagbas,16,16,16225,21115,4
16,3,03,003,000,ESPERANZA,Bentahon,14,14,16254,22102,4
16,3,06,031,001,PROSPERIDAD (Capital),Santa Irene,16,17,16269,21211,4
16,3,08,007,000,SAN FRANCISCO,Hubang,16,17,16300,22209,4
16,3,09,005,000,SAN LUIS,Nuevo Trabajo,14,15,16308,23110,4
16,3,09,006,000,SAN LUIS,Poblacion,12,13,16309,23208,4
16,3,12,002,000,TRENTO,Cuevas,18,18,16329,22304,4
16,67,09,004,000,DINAGAT,Escolta (Pob.),16,20,16382,21105,4
16,67,14,005,000,MAINIT,Mabini,1,1,16400,22114,4
16,67,14,013,001,MAINIT,Quezon (Pob.),21,20,16400,22114,4
16,67,15,003,000,MALIMONO,Cantapoy,21,21,16406,23215,4
16,67,24,031,002,SURIGAO CITY (Capital),Mat-i,16,16,16449,21207,4
16,67,24,048,004,SURIGAO CITY (Capital),Taft (Pob.),11,12,16441,10001,4
16,67,25,003,000,TAGANA-AN,Banban,18,19,16456,23114,4
16,67,25,015,000,TAGANA-AN,Patino,1,1,16456,23114,4
16,67,28,011,001,SAN JOSE,Santa Cruz,16,16,16464,22218,4
16,67,28,011,002,SAN JOSE,Santa Cruz,1,1,16464,22218,4
16,68,02,004,000,BAYABAS,Cagbaoto,1,1,16479,23203,4
16,68,02,006,000,BAYABAS,Magobawok,15,16,16479,23203,4
16,68,03,002,000,BISLIG,Bucto,2,2,16485,22208,4
16,68,03,009,014,BISLIG,Mangagoy,23,22,16488,10003,4
16,68,03,021,000,BISLIG,Tumanan,15,15,16485,22208,4
16,68,03,025,000,BISLIG,Comawas,18,16,16490,21209,4
16,68,07,008,000,CARRASCAL,Doyos (Pob.),18,16,16508,22102,4
16,68,07,010,000,CARRASCAL,Gamuton,15,16,16507,23103,4
16,68,09,010,000,HINATUAN,Harip,0,1,16521,23314,4
16,68,09,025,000,HINATUAN,Roxas,16,16,16521,23314,4
16,68,19,002,003,TANDAG (Capital),Bagong Lungsod (Pob.),25,24,16581,21105,4
41,10,01,008,000,AGONCILLO,Coral Na Munti,17,17,03819,23340,4
41,10,06,022,003,BAUAN,Manghinao Proper,13,16,03920,21104,4
41,10,11,006,000,LAUREL,Bugaan East,18,18,03974,23225,4
41,10,14,005,002,LIPA CITY,Antipolo Del Norte,14,14,04012,21311,4
41,10,17,012,000,MALVAR,San Andres,17,18,04081,21429,4
41,10,22,031,000,SAN JOSE,Taysan,18,18,04160,22337,4
41,10,23,017,001,SAN JUAN,Laiya-Ibabao,14,14,04167,24328,4
41,10,26,019,000,SAN PASCUAL,Pila,17,16,04203,22208,4
41,10,27,012,000,SANTA TERESITA,Saimsim,27,29,04211,24206,4
41,10,27,016,000,SANTA TERESITA,Tambo Ilaya,0,1,04211,24206,4
41,10,28,020,002,SANTO TOMAS,San Rafael,25,25,04228,23115,4
41,10,28,029,000,SANTO TOMAS,Santiago,20,18,04233,22119,4
41,10,30,020,000,TALISAY,Sampaloc,20,20,04250,21219,4
41,10,33,011,000,TINGLOY,San Isidro,17,17,04290,24117,4
41,21,03,046,017,BACOOR,Molino III,6,7,04364,11011,4
41,21,03,047,002,BACOOR,Molino IV,14,20,04365,26117,4
41,21,03,066,001,BACOOR,Talaba II,23,23,04376,27116,4
41,21,03,068,003,BACOOR,Talaba IV,18,21,04377,23223,4
41,21,06,042,001,DASMARIÑAS,Santa Fe,18,21,04448,23125,4
41,21,06,047,001,DASMARIÑAS,Burol I,16,19,04452,25119,4
41,21,06,056,029,DASMARIÑAS,Paliparan III,9,9,04460,11008,4
41,21,08,014,002,GENERAL TRIAS,Javalera,20,17,04486,22107,4
41,21,08,023,013,GENERAL TRIAS,San Francisco,10,10,04492,11002,4
41,21,09,026,001,IMUS,Alapan I-B,9,11,04509,22214,4
41,21,09,026,004,IMUS,Alapan I-B,1,1,04509,22214,4
